model,object_id,target_band,n_train_target_band,n_train_other_bands,n_heldout_target_band,heldout_indices,rmse,nrmse,crps,ncrps,object_flux_scale,nlpd,coverage_1sigma,coverage_2sigma,coverage_3sigma,z_score_mean,z_score_std,pit,notes,shuffle_repeat
mogp_shuffled_wavelength_control_seed3,61099873,r,16,24,5,[ 3  4  5  9 10],5.013416092662893,0.7352473356711956,2.714026979435635,0.39802822440574387,6.818679714202874,2.846148858618254,0.6,1.0,1.0,-0.20873571484046477,0.9320050717033269,[0.89630325 0.18732829 0.15187094 0.70213718 0.17910688],,3.0
mogp_shuffled_wavelength_control_seed4,61099873,r,16,24,5,[ 3  4  5  9 10],4.334299200809305,0.6356507978782515,2.3622190545288206,0.34643349644484245,6.818679714202874,2.7673887635057364,1.0,1.0,1.0,-0.16947400474847069,0.7854708244548233,[0.82598991 0.1687243  0.19606299 0.72709131 0.28269332],,4.0
same_total_train_budget_existing,61099873,r,3,13,5,[ 3  4  5  9 10],5.864669772160287,0.8600887588171292,3.1643503257612045,0.4640708257890549,6.818679714202874,3.0029103919707483,0.8,1.0,1.0,-0.2899436522198461,0.8516191266439067,[0.80114672 0.17844059 0.11252431 0.73428949 0.21571581],"Fixed-total-budget comparison, not an isolated cross-band covariance test.",
single_band_gp,106619084,r,15,0,4,[13 14 15 16],15.012786843709009,1.8702193809154353,11.219619921236188,1.3976852426965387,8.027286529541014,4.613712175711623,1.0,1.0,1.0,-0.31513410544078946,0.4270199870993052,[0.16178756 0.35133958 0.51459764 0.52858312],,
mogp_target_only,106619084,r,15,0,4,[13 14 15 16],15.012787776603558,1.8702194971308645,11.21962099793975,1.3976853768269897,8.027286529541014,4.613712286417497,1.0,1.0,1.0,-0.3151340732521329,0.4270199635436846,[0.16178758 0.35133959 0.51459765 0.52858313],,
mogp_real_wavelength,106619084,r,15,22,4,[13 14 15 16],20.2089890847685,2.5175367803800093,12.967722039566425,1.6154552340749566,8.027286529541014,6.537165463886159,0.5,0.75,0.75,-1.8077599587869757,1.740321488573661,[9.27617115e-07 8.78952772e-02 2.87698200e-01 2.91673686e-01],,
mogp_independent_band_control,106619084,r,15,22,4,[13 14 15 16],24.936684577746032,3.106489906144146,15.53532139559575,1.9353141735285775,8.027286529541014,4.842515723775518,0.75,1.0,1.0,-0.8201436331207446,0.6518061710952125,[0.03425665 0.16827444 0.35984764 0.44469104],Approximate independent-band control: wavelength length scale set near zero.,
mogp_shuffled_wavelength_control_seed0,106619084,r,15,22,4,[13 14 15 16],21.369160084842065,2.6620651955305146,13.844080176903669,1.724627634251801,8.027286529541014,7.470162217029324,0.5,0.75,0.75,-2.029148130600534,2.0302676169685583,[1.97510161e-08 7.41607139e-02 2.71935271e-01 2.83975262e-01],,0.0
mogp_shuffled_wavelength_control_seed1,106619084,r,15,22,4,[13 14 15 16],20.88627213661008,2.6019093824229445,13.452628616922258,1.675862518101924,8.027286529541014,7.030751452032058,0.5,0.75,0.75,-1.9096242516277373,1.9089358618684498,[1.20034183e-07 8.56454870e-02 2.85951410e-01 2.94636529e-01],,1.0
mogp_shuffled_wavelength_control_seed2,106619084,r,15,22,4,[13 14 15 16],25.619080829730198,3.1914994855920575,16.69406651826066,2.079664959862246,8.027286529541014,7.454426255201766,0.5,0.75,0.75,-2.0753360903800515,1.9398578973608178,[4.87121770e-08 4.02564877e-02 2.18867201e-01 3.27748539e-01],,2.0
mogp_shuffled_wavelength_control_seed3,106619084,r,15,22,4,[13 14 15 16],21.891152903162038,2.7270925016318976,14.132882662960974,1.7606052320358705,8.027286529541014,7.263093133468035,0.5,0.75,0.75,-1.9700919384961872,1.964221163033169,[5.26054621e-08 7.69133368e-02 2.74048692e-01 2.95936410e-01],,3.0
mogp_shuffled_wavelength_control_seed4,106619084,r,15,22,4,[13 14 15 16],21.37528289020884,2.6628279446044694,13.843423979769113,1.7245458884299545,8.027286529541014,7.439430221976591,0.5,0.75,0.75,-2.021467734382602,2.020930946295476,[2.25796178e-08 7.48113916e-02 2.72360783e-01 2.84362835e-01],,4.0
same_total_train_budget_existing,106619084,r,1,14,4,[13 14 15 16],58.08797445651501,7.236315066460744,44.96391757507717,5.601384404257478,8.027286529541014,8.766255143613547,0.0,0.25,0.5,-2.9436684154124073,1.044303965581326,[1.06265331e-05 1.80116857e-04 7.68146754e-03 6.27563939e-02],"Fixed-total-budget comparison, not an isolated cross-band covariance test.",
single_band_gp,38941537,r,18,0,5,[ 0  7  8 14 21],4.364527329404232,0.9026972043324473,2.5683429018497153,0.5311997800190874,4.83498487472534,2.834309210947626,0.4,1.0,1.0,-1.0332470741320268,0.33698632559734637,[0.11835631 0.08767266 0.09305012 0.20101125 0.3200545 ],,
