object_id,obj_type,band,n_test,rmse,mae,sigma_rms,sigma_mean,sigma_median,sigma_q90,z_mean,z_std,z_error,mean_abs_z,rmse_sigma_ratio,mae_sigma_ratio
19370388,SNII,r,5,0.555082199530779,0.5087139576315833,0.7488997893817885,0.7432480701305847,0.7430550190392228,0.8338757691236218,0.23138047575798426,0.6902813671278343,-0.3097186328721657,0.6772687753287392,0.7411968963017007,0.684624885905966
39985847,SNIa,r,5,0.03907622856048516,0.031414260805732695,0.2686327437110286,0.22700844643372992,0.16582280228620735,0.4033119272424601,-0.05515701021246355,0.3138410341484222,-0.6861589658515779,0.2151192756556642,0.14546338625986682,0.1894447589391971
76782555,TDE,r,5,0.16863164249726903,0.15459598879593717,0.34236209492916136,0.32884964613489337,0.31399486070179966,0.43434539256519666,0.14422220517343215,0.5529651484540865,-0.4470348515459135,0.5153155036390837,0.4925534835629536,0.4923519717819735
92321294,SNIa,r,5,0.32323868007477524,0.27943214371547154,0.37586626544231105,0.3748241755976812,0.384740112460137,0.4033951372129644,-0.30841928973889415,0.8446376858965651,-0.15536231410343493,0.757818246088703,0.859983216888047,0.7262880439700021
94621519,SNII,r,5,0.08229011658805997,0.07925271474259085,0.19234849955693342,0.1738804925958471,0.15109343755066598,0.27265984003411226,0.25127214778842,0.5045062106460109,-0.49549378935398913,0.5241015899345913,0.42781782430126436,0.5245278420250061
106260667,TDE,r,5,0.09648537639816468,0.06775010688857168,0.055717172129089956,0.05220074814396473,0.046870724334525646,0.07321029820341325,-0.7404577926497177,1.030517244357454,0.030517244357453954,1.070213203266638,1.7316990922407138,1.4454674607762779
3219576,SNIbc,r,5,0.3449816428045243,0.25274972865112555,0.2432676044257902,0.22599949006714132,0.26597686947320764,0.31484105397911755,-0.5373118383077286,1.0487189516419018,0.048718951641901764,0.9430244318552692,1.4181158383945955,0.9502695822825508
26109323,SNIbc,r,5,0.04223357897762005,0.037875287048607764,0.1392036197653731,0.101361498758645,0.05920364291944324,0.20088317036140907,-0.12807977201853768,0.572951299042525,-0.42704870095747505,0.5163519407394801,0.3033942583447507,0.6397458869236075
50150449,SNIbc,r,5,0.3627965449597173,0.23755775739407775,0.48783373630025356,0.4777591932233741,0.5381008006959519,0.5429917622164119,-0.27852384104678224,0.6158706540962215,-0.38412934590377845,0.45459077828129146,0.7436889209655276,0.44147445439001903
74893050,TDE,r,5,0.07940889245913867,0.03928489522026759,0.11039056393953259,0.08744178373242636,0.05448789390372648,0.16955540598894153,-0.6772919877878996,1.3957071266364374,0.39570712663643737,0.7653417612122964,0.7193449297227578,0.7209839178162997
79883325,SNIa,r,5,0.34004690406010546,0.2768081796565632,0.33152420782387354,0.3280505531864474,0.3242679792619015,0.3838446855660172,0.3406091697947288,1.0465375585284435,0.046537558528443546,0.876586077315717,1.025707613607389,0.8536401907047182
111941650,SNII,r,5,0.461232473694143,0.3337996568412953,0.47100107577890943,0.4641184077082142,0.45225243541847393,0.5502256435409206,-0.32609031094052654,0.7679429086986082,-0.23205709130139185,0.6408656840021663,0.9792599155562187,0.7380826076313486
7358574,SNIa,r,5,0.2765313026791354,0.23191374769760625,0.5735153795043324,0.5704669961228982,0.5806924553951459,0.6351436925714482,0.19711200396031353,0.44855861088444376,-0.5514413891155563,0.4046233962541218,0.4821689401217643,0.39937448048949603
24400626,SNIa,r,5,0.053408692472323875,0.03892468890489971,0.11746592596841152,0.08006728601634962,0.03818990697196862,0.17386924543500287,0.588198692366779,0.8931261649429131,-0.10687383505708692,0.7835137034820894,0.4546739152823461,1.0192402126946898
36008055,SNII,r,5,0.021582732768781428,0.015552022927795164,0.5706823058802231,0.48345862181086535,0.6407958257248293,0.7705213111155728,0.01329476597306652,0.045437203905688346,-0.9545627960943116,0.04093757557804777,0.03781917285045682,0.024269856799088323
59907038,SNII,r,5,0.011799612042746311,0.010187613879568808,0.18834559703405337,0.15962438797286368,0.10126872304990989,0.281553765968782,0.053182762645527605,0.1012185471314163,-0.8987814528685837,0.09028262946945849,0.06264872780972369,0.10059980587044515
4288146,SNIa,r,5,0.029451368034390298,0.021629574807244263,0.17349278047970296,0.1465931312949819,0.1982725553840142,0.23479890158424443,0.1627235209255448,0.5431980371338412,-0.4568019628661588,0.3507568299162489,0.16975558264129517,0.10909010964907428
4831627,SNIa,r,5,0.31940897275183266,0.27707575960388686,1.297986310058128,1.2739762976116216,1.2961415118777564,1.5503505096968955,0.2241700463459148,0.12372956570194193,-0.8762704342980581,0.2241700463459148,0.2460803864237432,0.2137696826039307
26385586,TDE,r,5,0.02675294697890886,0.018384961453348315,0.12975879167002555,0.10146696838878941,0.055480176681627136,0.20042547797262547,-0.06949419883895763,0.1351736281758467,-0.8648263718241533,0.1360397600877474,0.2061744459438337,0.3313789276276169
54013347,SNII,r,4,0.05765668736276591,0.04336826594822946,0.19007856311744556,0.1799969892435536,0.20689618528851894,0.22667761958187138,0.37503635143502195,0.5729186623550728,-0.4270813376449272,0.4174259330632851,0.30333082498704,0.20961365666434087
56927863,SNII,r,5,0.1556418645365818,0.13727067750800148,0.19276428990178185,0.18993118084149058,0.20703607237570773,0.22176432674348548,-0.29181299714439646,0.7586187735002571,-0.24138122649974292,0.7338073489592107,0.8074206307396726,0.6630278285945108
118689867,M-dwarf,r,6,0.18832110432656515,0.16383374402459386,0.3313185802787691,0.31755978207917224,0.32421825225829504,0.4159565996708453,-0.09286017571831044,0.6579773502446727,-0.34202264975532726,0.5603260971571808,0.5683988630161131,0.5053193115545894
25842167,SNIa,r,6,0.1554691102742127,0.12467168880164388,0.24967180608110856,0.23076506293673008,0.22115419296664005,0.35112051866508137,0.20764575943745797,0.5384250452625721,-0.46157495473742793,0.5004639134757455,0.622693898500125,0.5637319696690081
31730775,TDE,r,6,0.05190087413267745,0.03435251613574438,0.07474444787870792,0.06191732223493409,0.04939754242652261,0.10484150684525308,0.010631558367106409,0.5711835463826489,-0.4288164536173511,0.47964325801125357,0.6943776508577595,0.6954296600249443
85439795,M-dwarf,r,5,0.3691670333881075,0.2347969382445359,0.7061402117081496,0.5970644186011318,0.4910776817324593,1.051841729038181,-0.6237647924296104,0.6065494132608054,-0.39345058673919464,0.6237647924296104,0.5227956534228441,0.47812585865479024
95373927,SNII,r,5,0.346187569974196,0.30221233994840613,0.3322948985828578,0.32693074731399374,0.30243023027787247,0.39247209848217857,-0.15547264533034422,1.0068532943117836,0.006853294311783609,0.905162886356619,1.0418082596229625,0.9992795352195244
130375489,SNIa,r,4,0.2074730861547609,0.18352257367832414,0.2070000010973856,0.20364983231125047,0.19548650404908072,0.24523433498050454,0.017546074291092964,0.9872771340797147,-0.012722865920285265,0.8929384308608064,1.0022854350476682,0.9387992003389002
22540174,TDE,r,5,0.14566738255762463,0.12897551346581357,0.21480453634661878,0.19263461242837482,0.12119551667889393,0.31046616831263113,0.17601821851695953,0.8418471823589777,-0.1581528176410223,0.7311060815094972,0.6781392285057185,1.0641937672292998
100826219,TDE,r,5,0.040669869705031066,0.02318385584421003,0.08493951142241303,0.055130542108979975,0.024969044324777867,0.12369061347843435,-0.32150725141714886,0.2310295915746645,-0.7689704084253355,0.32150725141714886,0.47880979092021814,0.9285039324153742
105385367,KN,r,6,0.3836652019980811,0.3029162882977045,0.9245185720274409,0.8853533963874819,0.7750279733409267,1.141979790280198,0.017750262642584558,0.48804026995177485,-0.5119597300482251,0.3681238050302886,0.41498917772599747,0.3908456194063783
